[2022-Feb-03 23:44:26] Data: title=some title, text=some text, subject=some subject
[2022-Feb-03 23:44:28] Data: title=some title, text=some text, subject=some subject
[2022-Feb-03 23:46:03] Data: title=Путин заявил о планах смягчить ограничения по коронавирусу, text=Президент Путин анонсировал отмену ограничений для контактировавших с больными COVID-19, subject=news
[2022-Feb-03 23:46:12] Data: title=Путин заявил о планах смягчить ограничения по коронавирусу, text=Президент Путин анонсировал отмену ограничений для контактировавших с больными COVID-19, subject=news
[2022-Feb-03 23:46:20] Data: title=Путин заявил о планах смягчить ограничения по коронавирусу, text=Президент Путин анонсировал отмену ограничений для контактировавших с больными COVID-19, subject=news
[2022-Feb-03 23:46:22] Data: title=Путин заявил о планах смягчить ограничения по коронавирусу, text=Президент Путин анонсировал отмену ограничений для контактировавших с больными COVID-19, subject=news
[2022-Feb-03 23:46:25] Data: title=Путин заявил о планах смягчить ограничения по коронавирусу, text=Президент Путин анонсировал отмену ограничений для контактировавших с больными COVID-19, subject=news
[2022-Feb-03 23:51:24] Data: title=some, text=some, subject=soem
[2022-Feb-03 23:54:47] Data: title=Путин заявил о планах смягчить ограничения по коронавирусу, text=Путин заявил о планах смягчить ограничения по коронавирусу, subject=news



$ docker run -d -p 8180:8180 -p 8181:8181 -v /home/ksu/PycharmProjects/GB_docker_flask_example/app/models:/app/app/models ksenia-90/gb_docker_flask_example
